brand,name,slug,image_source_url,image_storage_path,image_public_url,imageUrl
Acqua di Parma,Aura Bloom 0052,acqua-di-parma-aura-bloom-0052,,acqua-di-parma/acqua-di-parma-aura-bloom-0052.jpg,,
Parfums de Marly,Aura Nectar 0053,parfums-de-marly-aura-nectar-0053,,parfums-de-marly/parfums-de-marly-aura-nectar-0053.jpg,,
Initio,Aura Veil 0054,initio-aura-veil-0054,,initio/initio-aura-veil-0054.jpg,,
Montale,Noble Spirit 0056,montale-noble-spirit-0056,,montale/montale-noble-spirit-0056.jpg,,
Nishane,Aura Veil 0057,nishane-aura-veil-0057,,nishane/nishane-aura-veil-0057.jpg,,
Memo Paris,Midnight Spirit 0058,memo-paris-midnight-spirit-0058,,memo-paris/memo-paris-midnight-spirit-0058.jpg,,
Frederic Malle,Opaline Signature 0059,frederic-malle-opaline-signature-0059,,frederic-malle/frederic-malle-opaline-signature-0059.jpg,,
Dior,Royal Legend 0061,dior-royal-legend-0061,,dior/dior-royal-legend-0061.jpg,,
Chanel,Velvet Spirit 0062,chanel-velvet-spirit-0062,,chanel/chanel-velvet-spirit-0062.jpg,,
Xerjoff,Intense Legend 0063,xerjoff-intense-legend-0063,,xerjoff/xerjoff-intense-legend-0063.jpg,,
Lattafa,Aura Pulse 0064,lattafa-aura-pulse-0064,,lattafa/lattafa-aura-pulse-0064.jpg,,
Tom Ford,Noir Elixir 0066,tom-ford-noir-elixir-0066,,tom-ford/tom-ford-noir-elixir-0066.jpg,,
Guerlain,Absolu Reserve 0067,guerlain-absolu-reserve-0067,,guerlain/guerlain-absolu-reserve-0067.jpg,,
Maison Francis Kurkdjian,Absolu Whisper 0068,maison-francis-kurkdjian-absolu-whisper-0068,,maison-francis-kurkdjian/maison-francis-kurkdjian-absolu-whisper-0068.jpg,,
Diptyque,Mystic Pulse 0069,diptyque-mystic-pulse-0069,,diptyque/diptyque-mystic-pulse-0069.jpg,,
Yves Saint Laurent,Luminous Edition 0071,yves-saint-laurent-luminous-edition-0071,,yves-saint-laurent/yves-saint-laurent-luminous-edition-0071.jpg,,
Acqua di Parma,Noble Parfum 0072,acqua-di-parma-noble-parfum-0072,,acqua-di-parma/acqua-di-parma-noble-parfum-0072.jpg,,
Parfums de Marly,Eclat Elixir 0073,parfums-de-marly-eclat-elixir-0073,,parfums-de-marly/parfums-de-marly-eclat-elixir-0073.jpg,,
Initio,Luminous Parfum 0074,initio-luminous-parfum-0074,,initio/initio-luminous-parfum-0074.jpg,,
Montale,Oud Bloom 0076,montale-oud-bloom-0076,,montale/montale-oud-bloom-0076.jpg,,
Nishane,Opaline Sillage 0077,nishane-opaline-sillage-0077,,nishane/nishane-opaline-sillage-0077.jpg,,
Memo Paris,Intense Pulse 0078,memo-paris-intense-pulse-0078,,memo-paris/memo-paris-intense-pulse-0078.jpg,,
Frederic Malle,Royal Reserve 0079,frederic-malle-royal-reserve-0079,,frederic-malle/frederic-malle-royal-reserve-0079.jpg,,
Dior,Zenith Eau de Parfum 0081,dior-zenith-eau-de-parfum-0081,,dior/dior-zenith-eau-de-parfum-0081.jpg,,
Chanel,Velvet Elixir 0082,chanel-velvet-elixir-0082,,chanel/chanel-velvet-elixir-0082.jpg,,
Xerjoff,Midnight Reserve 0083,xerjoff-midnight-reserve-0083,,xerjoff/xerjoff-midnight-reserve-0083.jpg,,
Lattafa,Silk Fusion 0084,lattafa-silk-fusion-0084,,lattafa/lattafa-silk-fusion-0084.jpg,,
Tom Ford,Eclat Pulse 0086,tom-ford-eclat-pulse-0086,,tom-ford/tom-ford-eclat-pulse-0086.jpg,,
Guerlain,Oud Trail 0087,guerlain-oud-trail-0087,,guerlain/guerlain-oud-trail-0087.jpg,,
Maison Francis Kurkdjian,Zenith Legend 0088,maison-francis-kurkdjian-zenith-legend-0088,,maison-francis-kurkdjian/maison-francis-kurkdjian-zenith-legend-0088.jpg,,
Diptyque,Eclat Legend 0089,diptyque-eclat-legend-0089,,diptyque/diptyque-eclat-legend-0089.jpg,,
Yves Saint Laurent,Zenith Signature 0091,yves-saint-laurent-zenith-signature-0091,,yves-saint-laurent/yves-saint-laurent-zenith-signature-0091.jpg,,
Acqua di Parma,Opaline Legend 0092,acqua-di-parma-opaline-legend-0092,,acqua-di-parma/acqua-di-parma-opaline-legend-0092.jpg,,
Parfums de Marly,Velvet Whisper 0093,parfums-de-marly-velvet-whisper-0093,,parfums-de-marly/parfums-de-marly-velvet-whisper-0093.jpg,,
Initio,Amber Trail 0094,initio-amber-trail-0094,,initio/initio-amber-trail-0094.jpg,,
Montale,Solar Eau de Parfum 0096,montale-solar-eau-de-parfum-0096,,montale/montale-solar-eau-de-parfum-0096.jpg,,
Nishane,Opaline Pulse 0097,nishane-opaline-pulse-0097,,nishane/nishane-opaline-pulse-0097.jpg,,
Memo Paris,Zenith Parfum 0098,memo-paris-zenith-parfum-0098,,memo-paris/memo-paris-zenith-parfum-0098.jpg,,
Frederic Malle,Eclat Legend 0099,frederic-malle-eclat-legend-0099,,frederic-malle/frederic-malle-eclat-legend-0099.jpg,,
Dior,Eclat Spirit 0101,dior-eclat-spirit-0101,,dior/dior-eclat-spirit-0101.jpg,,
Chanel,Saffron Veil 0102,chanel-saffron-veil-0102,,chanel/chanel-saffron-veil-0102.jpg,,
Xerjoff,Mystic Whisper 0103,xerjoff-mystic-whisper-0103,,xerjoff/xerjoff-mystic-whisper-0103.jpg,,
Lattafa,Royal Pulse 0104,lattafa-royal-pulse-0104,,lattafa/lattafa-royal-pulse-0104.jpg,,
Tom Ford,Amber Elixir 0106,tom-ford-amber-elixir-0106,,tom-ford/tom-ford-amber-elixir-0106.jpg,,
Guerlain,Absolu Pulse 0107,guerlain-absolu-pulse-0107,,guerlain/guerlain-absolu-pulse-0107.jpg,,
