brand,name,slug,local_image_path,approved_image_url,image_storage_path
Nishane,Royal Fusion 0177,nishane-royal-fusion-0177,approved-images/nishane-royal-fusion-0177.jpg,,nishane/nishane-royal-fusion-0177.jpg
Memo Paris,Solar Signature 0178,memo-paris-solar-signature-0178,approved-images/memo-paris-solar-signature-0178.jpg,,memo-paris/memo-paris-solar-signature-0178.jpg
Frederic Malle,Intense Sillage 0179,frederic-malle-intense-sillage-0179,approved-images/frederic-malle-intense-sillage-0179.jpg,,frederic-malle/frederic-malle-intense-sillage-0179.jpg
Dior,Zenith Nectar 0181,dior-zenith-nectar-0181,approved-images/dior-zenith-nectar-0181.jpg,,dior/dior-zenith-nectar-0181.jpg
Chanel,Saffron Pulse 0182,chanel-saffron-pulse-0182,approved-images/chanel-saffron-pulse-0182.jpg,,chanel/chanel-saffron-pulse-0182.jpg
Xerjoff,Zenith Reserve 0183,xerjoff-zenith-reserve-0183,approved-images/xerjoff-zenith-reserve-0183.jpg,,xerjoff/xerjoff-zenith-reserve-0183.jpg
Lattafa,Noble Spirit 0184,lattafa-noble-spirit-0184,approved-images/lattafa-noble-spirit-0184.jpg,,lattafa/lattafa-noble-spirit-0184.jpg
Tom Ford,Solar Elixir 0186,tom-ford-solar-elixir-0186,approved-images/tom-ford-solar-elixir-0186.jpg,,tom-ford/tom-ford-solar-elixir-0186.jpg
Guerlain,Luminous Spirit 0187,guerlain-luminous-spirit-0187,approved-images/guerlain-luminous-spirit-0187.jpg,,guerlain/guerlain-luminous-spirit-0187.jpg
Maison Francis Kurkdjian,Midnight Veil 0188,maison-francis-kurkdjian-midnight-veil-0188,approved-images/maison-francis-kurkdjian-midnight-veil-0188.jpg,,maison-francis-kurkdjian/maison-francis-kurkdjian-midnight-veil-0188.jpg
Diptyque,Solar Pulse 0189,diptyque-solar-pulse-0189,approved-images/diptyque-solar-pulse-0189.jpg,,diptyque/diptyque-solar-pulse-0189.jpg
Yves Saint Laurent,Noir Parfum 0191,yves-saint-laurent-noir-parfum-0191,approved-images/yves-saint-laurent-noir-parfum-0191.jpg,,yves-saint-laurent/yves-saint-laurent-noir-parfum-0191.jpg
Acqua di Parma,Noble Reserve 0192,acqua-di-parma-noble-reserve-0192,approved-images/acqua-di-parma-noble-reserve-0192.jpg,,acqua-di-parma/acqua-di-parma-noble-reserve-0192.jpg
Parfums de Marly,Absolu Trail 0193,parfums-de-marly-absolu-trail-0193,approved-images/parfums-de-marly-absolu-trail-0193.jpg,,parfums-de-marly/parfums-de-marly-absolu-trail-0193.jpg
Initio,Noble Essence 0194,initio-noble-essence-0194,approved-images/initio-noble-essence-0194.jpg,,initio/initio-noble-essence-0194.jpg
Montale,Opaline Essence 0196,montale-opaline-essence-0196,approved-images/montale-opaline-essence-0196.jpg,,montale/montale-opaline-essence-0196.jpg
Nishane,Zenith Parfum 0197,nishane-zenith-parfum-0197,approved-images/nishane-zenith-parfum-0197.jpg,,nishane/nishane-zenith-parfum-0197.jpg
Memo Paris,Velvet Parfum 0198,memo-paris-velvet-parfum-0198,approved-images/memo-paris-velvet-parfum-0198.jpg,,memo-paris/memo-paris-velvet-parfum-0198.jpg
