brand,name,slug,image_source_url,image_storage_path,image_public_url,imageUrl
Nishane,Royal Fusion 0177,nishane-royal-fusion-0177,,nishane/nishane-royal-fusion-0177.jpg,,
Memo Paris,Solar Signature 0178,memo-paris-solar-signature-0178,,memo-paris/memo-paris-solar-signature-0178.jpg,,
Frederic Malle,Intense Sillage 0179,frederic-malle-intense-sillage-0179,,frederic-malle/frederic-malle-intense-sillage-0179.jpg,,
Dior,Zenith Nectar 0181,dior-zenith-nectar-0181,,dior/dior-zenith-nectar-0181.jpg,,
Chanel,Saffron Pulse 0182,chanel-saffron-pulse-0182,,chanel/chanel-saffron-pulse-0182.jpg,,
Xerjoff,Zenith Reserve 0183,xerjoff-zenith-reserve-0183,,xerjoff/xerjoff-zenith-reserve-0183.jpg,,
Lattafa,Noble Spirit 0184,lattafa-noble-spirit-0184,,lattafa/lattafa-noble-spirit-0184.jpg,,
Tom Ford,Solar Elixir 0186,tom-ford-solar-elixir-0186,,tom-ford/tom-ford-solar-elixir-0186.jpg,,
Guerlain,Luminous Spirit 0187,guerlain-luminous-spirit-0187,,guerlain/guerlain-luminous-spirit-0187.jpg,,
Maison Francis Kurkdjian,Midnight Veil 0188,maison-francis-kurkdjian-midnight-veil-0188,,maison-francis-kurkdjian/maison-francis-kurkdjian-midnight-veil-0188.jpg,,
Diptyque,Solar Pulse 0189,diptyque-solar-pulse-0189,,diptyque/diptyque-solar-pulse-0189.jpg,,
Yves Saint Laurent,Noir Parfum 0191,yves-saint-laurent-noir-parfum-0191,,yves-saint-laurent/yves-saint-laurent-noir-parfum-0191.jpg,,
Acqua di Parma,Noble Reserve 0192,acqua-di-parma-noble-reserve-0192,,acqua-di-parma/acqua-di-parma-noble-reserve-0192.jpg,,
Parfums de Marly,Absolu Trail 0193,parfums-de-marly-absolu-trail-0193,,parfums-de-marly/parfums-de-marly-absolu-trail-0193.jpg,,
Initio,Noble Essence 0194,initio-noble-essence-0194,,initio/initio-noble-essence-0194.jpg,,
Montale,Opaline Essence 0196,montale-opaline-essence-0196,,montale/montale-opaline-essence-0196.jpg,,
Nishane,Zenith Parfum 0197,nishane-zenith-parfum-0197,,nishane/nishane-zenith-parfum-0197.jpg,,
Memo Paris,Velvet Parfum 0198,memo-paris-velvet-parfum-0198,,memo-paris/memo-paris-velvet-parfum-0198.jpg,,
Frederic Malle,Amber Fusion 0199,frederic-malle-amber-fusion-0199,,frederic-malle/frederic-malle-amber-fusion-0199.jpg,,
Dior,Intense Edition 0201,dior-intense-edition-0201,,dior/dior-intense-edition-0201.jpg,,
Chanel,Zenith Nectar 0202,chanel-zenith-nectar-0202,,chanel/chanel-zenith-nectar-0202.jpg,,
Xerjoff,Midnight Reserve 0203,xerjoff-midnight-reserve-0203,,xerjoff/xerjoff-midnight-reserve-0203.jpg,,
Lattafa,Oud Eau de Parfum 0204,lattafa-oud-eau-de-parfum-0204,,lattafa/lattafa-oud-eau-de-parfum-0204.jpg,,
Tom Ford,Luminous Reserve 0206,tom-ford-luminous-reserve-0206,,tom-ford/tom-ford-luminous-reserve-0206.jpg,,
Guerlain,Eclat Essence 0207,guerlain-eclat-essence-0207,,guerlain/guerlain-eclat-essence-0207.jpg,,
Maison Francis Kurkdjian,Noir Eau de Parfum 0208,maison-francis-kurkdjian-noir-eau-de-parfum-0208,,maison-francis-kurkdjian/maison-francis-kurkdjian-noir-eau-de-parfum-0208.jpg,,
Diptyque,Noble Signature 0209,diptyque-noble-signature-0209,,diptyque/diptyque-noble-signature-0209.jpg,,
Yves Saint Laurent,Intense Edition 0211,yves-saint-laurent-intense-edition-0211,,yves-saint-laurent/yves-saint-laurent-intense-edition-0211.jpg,,
Acqua di Parma,Solar Whisper 0212,acqua-di-parma-solar-whisper-0212,,acqua-di-parma/acqua-di-parma-solar-whisper-0212.jpg,,
Parfums de Marly,Opaline Eau de Parfum 0213,parfums-de-marly-opaline-eau-de-parfum-0213,,parfums-de-marly/parfums-de-marly-opaline-eau-de-parfum-0213.jpg,,
Initio,Oud Legend 0214,initio-oud-legend-0214,,initio/initio-oud-legend-0214.jpg,,
Montale,Intense Eau de Parfum 0216,montale-intense-eau-de-parfum-0216,,montale/montale-intense-eau-de-parfum-0216.jpg,,
Nishane,Opaline Code 0217,nishane-opaline-code-0217,,nishane/nishane-opaline-code-0217.jpg,,
Memo Paris,Oud Essence 0218,memo-paris-oud-essence-0218,,memo-paris/memo-paris-oud-essence-0218.jpg,,
Frederic Malle,Noble Legend 0219,frederic-malle-noble-legend-0219,,frederic-malle/frederic-malle-noble-legend-0219.jpg,,
Dior,Amber Eau de Parfum 0221,dior-amber-eau-de-parfum-0221,,dior/dior-amber-eau-de-parfum-0221.jpg,,
Chanel,Intense Sillage 0222,chanel-intense-sillage-0222,,chanel/chanel-intense-sillage-0222.jpg,,
Xerjoff,Saffron Bloom 0223,xerjoff-saffron-bloom-0223,,xerjoff/xerjoff-saffron-bloom-0223.jpg,,
Lattafa,Noble Nectar 0224,lattafa-noble-nectar-0224,,lattafa/lattafa-noble-nectar-0224.jpg,,
Tom Ford,Intense Pulse 0226,tom-ford-intense-pulse-0226,,tom-ford/tom-ford-intense-pulse-0226.jpg,,
Guerlain,Opaline Reserve 0227,guerlain-opaline-reserve-0227,,guerlain/guerlain-opaline-reserve-0227.jpg,,
Maison Francis Kurkdjian,Silk Code 0228,maison-francis-kurkdjian-silk-code-0228,,maison-francis-kurkdjian/maison-francis-kurkdjian-silk-code-0228.jpg,,
Diptyque,Zenith Elixir 0229,diptyque-zenith-elixir-0229,,diptyque/diptyque-zenith-elixir-0229.jpg,,
Yves Saint Laurent,Intense Bloom 0231,yves-saint-laurent-intense-bloom-0231,,yves-saint-laurent/yves-saint-laurent-intense-bloom-0231.jpg,,
Acqua di Parma,Noble Fusion 0232,acqua-di-parma-noble-fusion-0232,,acqua-di-parma/acqua-di-parma-noble-fusion-0232.jpg,,
Parfums de Marly,Eclat Edition 0233,parfums-de-marly-eclat-edition-0233,,parfums-de-marly/parfums-de-marly-eclat-edition-0233.jpg,,
Initio,Silk Nectar 0234,initio-silk-nectar-0234,,initio/initio-silk-nectar-0234.jpg,,
Montale,Luminous Parfum 0236,montale-luminous-parfum-0236,,montale/montale-luminous-parfum-0236.jpg,,
Nishane,Amber Eau de Parfum 0237,nishane-amber-eau-de-parfum-0237,,nishane/nishane-amber-eau-de-parfum-0237.jpg,,
Memo Paris,Noble Bloom 0238,memo-paris-noble-bloom-0238,,memo-paris/memo-paris-noble-bloom-0238.jpg,,
