brand,name,slug,image_source_url,image_storage_path,image_public_url,imageUrl
Lattafa,Khamrah,lattafa-khamrah,,lattafa/lattafa-khamrah.jpg,,
Lattafa,Bade'e Al Oud Oud for Glory,lattafa-badee-al-oud-for-glory,,lattafa/lattafa-badee-al-oud-for-glory.jpg,,
Dior,J'adore L'Or,dior-jadore-lor,,dior/dior-jadore-lor.jpg,,
Maison Francis Kurkdjian,Oud Satin Mood,mfk-oud-satin-mood,,maison-francis-kurkdjian/mfk-oud-satin-mood.jpg,,
Maison Francis Kurkdjian,Baccarat Rouge 540,mfk-baccarat-rouge-540,,maison-francis-kurkdjian/mfk-baccarat-rouge-540.jpg,,
Xerjoff,Erba Pura,xerjoff-erba-pura,,xerjoff/xerjoff-erba-pura.jpg,,
Chanel,Coco Mademoiselle Eau de Parfum,chanel-coco-mademoiselle-edp,,chanel/chanel-coco-mademoiselle-edp.jpg,,
Diptyque,Philosykos Eau de Toilette,diptyque-philosykos-edt,,diptyque/diptyque-philosykos-edt.jpg,,
Diptyque,Eau Duelle Eau de Parfum,diptyque-eau-duelle-edp,,diptyque/diptyque-eau-duelle-edp.jpg,,
Dior,Solar Whisper 0001,dior-solar-whisper-0001,,dior/dior-solar-whisper-0001.jpg,,
Chanel,Noble Edition 0002,chanel-noble-edition-0002,,chanel/chanel-noble-edition-0002.jpg,,
Xerjoff,Amber Trail 0003,xerjoff-amber-trail-0003,,xerjoff/xerjoff-amber-trail-0003.jpg,,
Lattafa,Opaline Whisper 0004,lattafa-opaline-whisper-0004,,lattafa/lattafa-opaline-whisper-0004.jpg,,
Tom Ford,Solar Trail 0006,tom-ford-solar-trail-0006,,tom-ford/tom-ford-solar-trail-0006.jpg,,
Guerlain,Solar Sillage 0007,guerlain-solar-sillage-0007,,guerlain/guerlain-solar-sillage-0007.jpg,,
Maison Francis Kurkdjian,Opaline Veil 0008,maison-francis-kurkdjian-opaline-veil-0008,,maison-francis-kurkdjian/maison-francis-kurkdjian-opaline-veil-0008.jpg,,
Diptyque,Intense Elixir 0009,diptyque-intense-elixir-0009,,diptyque/diptyque-intense-elixir-0009.jpg,,
Yves Saint Laurent,Oud Whisper 0011,yves-saint-laurent-oud-whisper-0011,,yves-saint-laurent/yves-saint-laurent-oud-whisper-0011.jpg,,
Acqua di Parma,Luminous Nectar 0012,acqua-di-parma-luminous-nectar-0012,,acqua-di-parma/acqua-di-parma-luminous-nectar-0012.jpg,,
Parfums de Marly,Intense Reserve 0013,parfums-de-marly-intense-reserve-0013,,parfums-de-marly/parfums-de-marly-intense-reserve-0013.jpg,,
Initio,Eclat Elixir 0014,initio-eclat-elixir-0014,,initio/initio-eclat-elixir-0014.jpg,,
Montale,Zenith Essence 0016,montale-zenith-essence-0016,,montale/montale-zenith-essence-0016.jpg,,
Nishane,Noble Trail 0017,nishane-noble-trail-0017,,nishane/nishane-noble-trail-0017.jpg,,
Memo Paris,Oud Edition 0018,memo-paris-oud-edition-0018,,memo-paris/memo-paris-oud-edition-0018.jpg,,
Frederic Malle,Mystic Eau de Parfum 0019,frederic-malle-mystic-eau-de-parfum-0019,,frederic-malle/frederic-malle-mystic-eau-de-parfum-0019.jpg,,
Dior,Opaline Trail 0021,dior-opaline-trail-0021,,dior/dior-opaline-trail-0021.jpg,,
Chanel,Amber Code 0022,chanel-amber-code-0022,,chanel/chanel-amber-code-0022.jpg,,
Xerjoff,Luminous Reserve 0023,xerjoff-luminous-reserve-0023,,xerjoff/xerjoff-luminous-reserve-0023.jpg,,
Lattafa,Royal Edition 0024,lattafa-royal-edition-0024,,lattafa/lattafa-royal-edition-0024.jpg,,
Tom Ford,Aura Essence 0026,tom-ford-aura-essence-0026,,tom-ford/tom-ford-aura-essence-0026.jpg,,
Guerlain,Saffron Edition 0027,guerlain-saffron-edition-0027,,guerlain/guerlain-saffron-edition-0027.jpg,,
Maison Francis Kurkdjian,Amber Code 0028,maison-francis-kurkdjian-amber-code-0028,,maison-francis-kurkdjian/maison-francis-kurkdjian-amber-code-0028.jpg,,
